question,cue,question_slug,proposition_id,feat_type,num_ratings,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_z,imagery_min,imagery_max,facts_mean,facts_std,facts_z,facts_min,facts_max,difficulty_mean,difficulty_std,difficulty_z,difficulty_min,difficulty_max
Is it round?,apple,is-it-round,is-it-round:apple,visual,6,0.833333333,1.169045194,-1,2,3,1.095445115,2.447186038,2,4,1.5,1.974841766,0.734460367,0,4,-1.5,0.547722558,-0.074425384,-2,-1
Does it have seeds?,apple,does-it-have-seeds,does-it-have-seeds:apple,visual,6,1.5,0.836660027,0,2,1,1.095445115,-0.664262734,0,3,1.5,1.224744871,0.734460367,0,3,-1.666666667,0.816496581,-0.450024871,-2,0
Is it red?,apple,is-it-red,is-it-red:apple,visual,8,0.25,0.707106781,-1,1,2.625,1.060660172,1.863789393,1,4,0.625,0.744023809,-0.603774306,0,2,-1.375,0.916125381,0.207274231,-2,0
Is it green?,apple,is-it-green,is-it-green:apple,visual,3,0,0,0,0,2.333333333,1.154700538,1.410036447,1,3,1,0,-0.030245161,1,1,-1,1,1.052373077,-2,0
Is it used in experiments?,apple,is-it-used-in-experiments,is-it-used-in-experiments:apple,nonvisual,5,-0.6,0.894427191,-2,0,0.4,0.894427191,-1.597697365,0,2,0.2,0.447213596,-1.253774005,0,1,-0.8,1.303840481,1.503092461,-2,1
Is it an animal?,apple,is-it-an-animal,is-it-an-animal:apple,nonvisual,5,-1.8,0.447213596,-2,-1,1.6,2.19089023,0.269171898,0,4,1,1.732050808,-0.030245161,0,4,-1.4,1.341640787,0.150934308,-2,1
Is it fast?,apple,is-it-fast,is-it-fast:apple,nonvisual,4,-2,0,-2,-2,0,0,-2.21998712,0,0,0,0,-1.559656216,0,0,-2,0,-1.201223845,-2,-2
Does it live in Africa?,apple,does-it-live-in-africa,does-it-live-in-africa:apple,nonvisual,5,-1,0.707106781,-2,0,0.2,0.447213596,-1.908842242,0,1,1,1.414213562,-0.030245161,0,3,-1,1.224744871,1.052373077,-2,1
Is it timid?,apple,is-it-timid,is-it-timid:apple,nonvisual,7,-1.714285714,0.755928946,-2,0,2.571428571,1.511857892,1.780447015,0,4,2.142857143,1.67616342,1.717653188,0,4,-1.571428571,0.786795792,-0.235396592,-2,0
Is it used for cider?,apple,is-it-used-for-cider,is-it-used-for-cider:apple,nonvisual,5,1.8,0.447213596,1,2,0.6,0.894427191,-1.286552488,0,2,0.6,0.547722558,-0.642009583,0,1,-1.8,0.447213596,-0.75050446,-2,-1
Is it a fruit?,apple,is-it-a-fruit,is-it-a-fruit:apple,nonvisual,7,2,0,2,2,1.142857143,1.951800146,-0.442016393,0,4,1,1.527525232,-0.030245161,0,4,-1.857142857,0.377964473,-0.879281427,-2,-1
Does it grow on trees?,apple,does-it-grow-on-trees,does-it-grow-on-trees:apple,nonvisual,6,2,0,2,2,2,1.414213562,0.891461652,0,4,0.833333333,0.752772653,-0.285147003,0,2,-1.833333333,0.40824829,-0.825624358,-2,-1
Is it nutritious?,apple,is-it-nutritious,is-it-nutritious:apple,nonvisual,8,1.875,0.353553391,1,2,0.625,1.407885953,-1.247659378,0,4,2.25,1.281739889,1.881518658,0,4,-1.75,0.46291005,-0.637824614,-2,-1
Is it eaten in pies?,apple,is-it-eaten-in-pies,is-it-eaten-in-pies:apple,nonvisual,6,2,0,2,2,2.333333333,1.505545305,1.410036447,0,4,1.833333333,1.602081979,1.244264052,0,4,-1.5,0.836660027,-0.074425384,-2,0
Does it have hooves?,banana,does-it-have-hooves,does-it-have-hooves:banana,visual,5,-2,0,-2,-2,1.2,0.447213596,-0.353117857,1,2,1.2,1.303840481,0.27563705,0,3,-2,0,-1.201223845,-2,-2
Does it have a beak?,banana,does-it-have-a-beak,does-it-have-a-beak:banana,visual,5,-2,0,-2,-2,2,1.224744871,0.891461652,1,4,1.4,1.341640787,0.581519262,0,3,-2,0,-1.201223845,-2,-2
Does it have a tail?,banana,does-it-have-a-tail,does-it-have-a-tail:banana,visual,4,-1.25,1.5,-2,1,1.5,1.732050808,0.113599459,0,3,1.25,1.892969449,0.352107603,0,4,-1.75,0.5,-0.637824614,-2,-1
Does it have feathers?,banana,does-it-have-feathers,does-it-have-feathers:banana,visual,6,-2,0,-2,-2,1.333333333,1.505545305,-0.145687938,0,4,0.666666667,1.632993162,-0.540048846,0,4,-2,0,-1.201223845,-2,-2
Is it long?,banana,is-it-long,is-it-long:banana,visual,8,0.5,0.534522484,0,1,2.25,1.035098339,1.280392749,1,4,0.375,0.744023809,-0.98612707,0,2,-1.125,0.640869944,0.770673462,-2,0
Is it yellow?,banana,is-it-yellow,is-it-yellow:banana,visual,4,1.5,0.577350269,1,2,2.75,1.258305739,2.058254941,1,4,2.25,1.5,1.881518658,1,4,-1.5,1,-0.074425384,-2,0
Does it have a peel?,banana,does-it-have-a-peel,does-it-have-a-peel:banana,visual,4,1.5,1,0,2,1.5,1.914854216,0.113599459,0,4,0.75,1.5,-0.412597924,0,3,-1.25,1.5,0.488973847,-2,1
Does it have a skin?,banana,does-it-have-a-skin,does-it-have-a-skin:banana,visual,3,1.333333333,0.577350269,1,2,1,1,-0.664262734,0,2,0.666666667,0.577350269,-0.540048846,0,1,-1,1,1.052373077,-2,0
Is it fast?,banana,is-it-fast,is-it-fast:banana,nonvisual,7,-1.428571429,0.786795792,-2,0,1.428571429,1.618347187,0.002476289,0,4,0.428571429,1.133893419,-0.904194335,0,3,-1,1.290994449,1.052373077,-2,1
Is it worn in cold temperatures?,banana,is-it-worn-in-cold-temperatures,is-it-worn-in-cold-temperatures:banana,nonvisual,8,-1.5,1.414213562,-2,2,1.375,1.505940617,-0.080866089,0,4,0.875,0.991031209,-0.221421542,0,2,-1.875,0.353553391,-0.919524229,-2,-1
Is it a container?,banana,is-it-a-container,is-it-a-container:banana,nonvisual,5,-1.6,0.894427191,-2,0,1.4,1.140175425,-0.041972979,0,3,0.2,0.447213596,-1.253774005,0,1,-1.6,0.894427191,-0.299785076,-2,0
Does it have different speeds?,banana,does-it-have-different-speeds,does-it-have-different-speeds:banana,nonvisual,5,-1.8,0.447213596,-2,-1,1.6,1.816590212,0.269171898,0,4,0.6,1.341640787,-0.642009583,0,3,-1.4,1.341640787,0.150934308,-2,1
Is it a fruit?,banana,is-it-a-fruit,is-it-a-fruit:banana,nonvisual,7,1.857142857,0.377964473,1,2,0.857142857,1.463850109,-0.886509075,0,4,0.714285714,1.112697281,-0.467219748,0,3,-1.571428571,0.786795792,-0.235396592,-2,0
Does it taste good?,banana,does-it-taste-good,does-it-taste-good:banana,nonvisual,7,1,1,0,2,0.571428571,0.786795792,-1.331001756,0,2,1.428571429,1.511857892,0.62521672,0,3,-1.714285714,0.755928946,-0.55733901,-2,0
Is it healthy?,banana,is-it-healthy,is-it-healthy:banana,nonvisual,6,1,1.549193338,-2,2,1,0.894427191,-0.664262734,0,2,1.333333333,1.505545305,0.479558525,0,3,-1.666666667,0.516397779,-0.450024871,-2,-1
Does it grow in tropical climates?,banana,does-it-grow-in-tropical-climates,does-it-grow-in-tropical-climates:banana,nonvisual,5,1.4,0.894427191,0,2,0.2,0.447213596,-1.908842242,0,1,1,1.414213562,-0.030245161,0,3,-1.6,0.547722558,-0.299785076,-2,-1
Does it have legs?,bike,does-it-have-legs,does-it-have-legs:bike,visual,7,-2,0,-2,-2,1,1.414213562,-0.664262734,0,4,0.285714286,0.755928946,-1.122681628,0,2,-1.857142857,0.377964473,-0.879281427,-2,-1
Is it made of plastic?,bike,is-it-made-of-plastic,is-it-made-of-plastic:bike,visual,8,-1.125,0.991031209,-2,0,1.625,1.187734939,0.308065007,0,3,1.5,1.195228609,0.734460367,0,3,-0.75,0.88640526,1.615772308,-2,1
Does it have feet?,bike,does-it-have-feet,does-it-have-feet:bike,visual,7,-2,0,-2,-2,1.142857143,1.463850109,-0.442016393,0,4,0.142857143,0.377964473,-1.341168922,0,1,-2,0,-1.201223845,-2,-2
Does it have sleeves?,bike,does-it-have-sleeves,does-it-have-sleeves:bike,visual,6,-2,0,-2,-2,1,1.264911064,-0.664262734,0,3,0.333333333,0.816496581,-1.049852531,0,2,-1.833333333,0.40824829,-0.825624358,-2,-1
Is it made of metal?,bike,is-it-made-of-metal,is-it-made-of-metal:bike,visual,4,1,1.414213562,-1,2,1.25,1.258305739,-0.275331637,0,3,0.25,0.5,-1.177303452,0,1,-1.5,0.577350269,-0.074425384,-2,-1
Does it have gears?,bike,does-it-have-gears,does-it-have-gears:bike,visual,4,0.75,0.957427108,0,2,1.75,1.707825128,0.502530556,0,4,2,1.414213562,1.499165895,1,4,-1.5,0.577350269,-0.074425384,-2,-1
Does it have a seat?,bike,does-it-have-a-seat,does-it-have-a-seat:bike,visual,6,1.833333333,0.40824829,1,2,1.5,1.974841766,0.113599459,0,4,0.333333333,0.816496581,-1.049852531,0,2,-1.833333333,0.40824829,-0.825624358,-2,-1
Does it have handle bars?,bike,does-it-have-handle-bars,does-it-have-handle-bars:bike,visual,6,1.666666667,0.516397779,1,2,1.833333333,1.471960144,0.632174254,0,4,0.5,0.836660027,-0.794950688,0,2,-1.833333333,0.40824829,-0.825624358,-2,-1
Does it live in Africa?,bike,does-it-live-in-africa,does-it-live-in-africa:bike,nonvisual,4,-1.25,0.957427108,-2,0,0.5,1,-1.442124927,0,2,0,0,-1.559656216,0,0,-1.25,0.957427108,0.488973847,-2,0
Is it nocturnal?,bike,is-it-nocturnal,is-it-nocturnal:bike,nonvisual,5,-1.6,0.894427191,-2,0,0.8,1.303840481,-0.975407611,0,3,0.2,0.447213596,-1.253774005,0,1,-1.6,0.894427191,-0.299785076,-2,0
Is it found at tables?,bike,is-it-found-at-tables,is-it-found-at-tables:bike,nonvisual,4,-2,0,-2,-2,1.25,0.957427108,-0.275331637,0,2,0.75,0.957427108,-0.412597924,0,2,-1.25,0.5,0.488973847,-2,-1
Is it a mammal?,bike,is-it-a-mammal,is-it-a-mammal:bike,nonvisual,5,-1.2,1.788854382,-2,2,0.8,1.788854382,-0.975407611,0,4,0.8,1.788854382,-0.336127372,0,4,-1.2,1.788854382,0.601653693,-2,2
Is it fast?,bike,is-it-fast,is-it-fast:bike,nonvisual,4,0.25,0.5,0,1,1.25,0.957427108,-0.275331637,0,2,1,1.414213562,-0.030245161,0,3,-1.25,0.957427108,0.488973847,-2,0
Does it have different speeds?,bike,does-it-have-different-speeds,does-it-have-different-speeds:bike,nonvisual,10,1.1,0.737864787,0,2,1.5,1.354006401,0.113599459,0,4,0.6,1.264911064,-0.642009583,0,4,-1.5,0.527046277,-0.074425384,-2,-1
Is is used for riding?,bike,is-is-used-for-riding,is-is-used-for-riding:bike,nonvisual,4,2,0,2,2,1.5,1.914854216,0.113599459,0,4,0,0,-1.559656216,0,0,-2,0,-1.201223845,-2,-2
Is it used for racing?,bike,is-it-used-for-racing,is-it-used-for-racing:bike,nonvisual,6,1,1.264911064,-1,2,1.333333333,1.211060142,-0.145687938,0,3,1,1.673320053,-0.030245161,0,4,-1.5,0.547722558,-0.074425384,-2,-1
Does it have feet?,bottle,does-it-have-feet,does-it-have-feet:bottle,visual,5,-0.6,0.894427191,-2,0,0.4,0.547722558,-1.597697365,0,1,0.4,0.894427191,-0.947891794,0,2,-1.2,0.836660027,0.601653693,-2,0
Does it have seeds?,bottle,does-it-have-seeds,does-it-have-seeds:bottle,visual,7,-2,0,-2,-2,1.428571429,1.133893419,0.002476289,0,3,0.857142857,1.573591585,-0.248732454,0,4,-2,0,-1.201223845,-2,-2
Does it have armrests?,bottle,does-it-have-armrests,does-it-have-armrests:bottle,visual,5,-1.6,0.894427191,-2,0,2,1.870828693,0.891461652,0,4,1.8,1.788854382,1.193283684,0,4,-0.8,1.643167673,1.503092461,-2,1
Does it have eyes?,bottle,does-it-have-eyes,does-it-have-eyes:bottle,visual,6,-1.666666667,0.816496581,-2,0,1.5,1.224744871,0.113599459,0,3,1.166666667,1.169045194,0.224656682,0,3,-1,0.894427191,1.052373077,-2,0
Does it have teeth?,bottle,does-it-have-teeth,does-it-have-teeth:bottle,visual,3,-2,0,-2,-2,1,1,-0.664262734,0,2,1.666666667,2.081665999,0.98936221,0,4,-2,0,-1.201223845,-2,-2
Does it have a cork?,bottle,does-it-have-a-cork,does-it-have-a-cork:bottle,visual,7,-0.428571429,0.786795792,-2,0,1.285714286,1.380131119,-0.219770052,0,4,0.285714286,0.487950036,-1.122681628,0,1,-1.714285714,0.755928946,-0.55733901,-2,0
