question,cue,question_slug,proposition_id,correct_response,feat_type
Does it have wings?,lion,does-it-have-wings,does-it-have-wings:lion,no,visual
Is it grey?,lion,is-it-grey,is-it-grey:lion,no,visual
Is it large?,mouse,is-it-large,is-it-large:mouse,no,visual
Is it red?,penguin,is-it-red,is-it-red:penguin,no,visual
Does it have wings?,pig,does-it-have-wings,does-it-have-wings:pig,no,visual
Does it have legs?,pineapple,does-it-have-legs,does-it-have-legs:pineapple,no,visual
Does it have whiskers?,pineapple,does-it-have-whiskers,does-it-have-whiskers:pineapple,no,visual
Does it have a seat?,rabbit,does-it-have-a-seat,does-it-have-a-seat:rabbit,no,visual
Does it have green leaves?,raccoon,does-it-have-green-leaves,does-it-have-green-leaves:raccoon,no,visual
Does it have a beak?,raccoon,does-it-have-a-beak,does-it-have-a-beak:raccoon,no,visual
Does it have four legs?,strawberry,does-it-have-four-legs,does-it-have-four-legs:strawberry,no,visual
Does it have ears?,strawberry,does-it-have-ears,does-it-have-ears:strawberry,no,visual
Does it have a tail?,strawberry,does-it-have-a-tail,does-it-have-a-tail:strawberry,no,visual
Does it have a hump?,swan,does-it-have-a-hump,does-it-have-a-hump:swan,no,visual
Does it have four legs?,swan,does-it-have-four-legs,does-it-have-four-legs:swan,no,visual
Is it made of wood?,swan,is-it-made-of-wood,is-it-made-of-wood:swan,no,visual
Does it have a skin?,table,does-it-have-a-skin,does-it-have-a-skin:table,no,visual
Does it have a neck?,table,does-it-have-a-neck,does-it-have-a-neck:table,no,visual
Is it black?,tiger,is-it-black,is-it-black:tiger,no,visual
Does it have whiskers?,toad,does-it-have-whiskers,does-it-have-whiskers:toad,no,visual
Does it have antennae?,zebra,does-it-have-antennae,does-it-have-antennae:zebra,no,visual
Is it red?,zebra,is-it-red,is-it-red:zebra,no,visual
Is it an animal?,alligator,is-it-an-animal,is-it-an-animal:alligator,yes,nonvisual
Is it used for cider?,apple,is-it-used-for-cider,is-it-used-for-cider:apple,yes,nonvisual
Does it grow on trees?,apple,does-it-grow-on-trees,does-it-grow-on-trees:apple,yes,nonvisual
Does it grow in tropical climates?,banana,does-it-grow-in-tropical-climates,does-it-grow-in-tropical-climates:banana,yes,nonvisual
Does it have different speeds?,bike,does-it-have-different-speeds,does-it-have-different-speeds:bike,yes,nonvisual
Is it breakable?,bottle,is-it-breakable,is-it-breakable:bottle,yes,nonvisual
Is it a container?,bottle,is-it-a-container,is-it-a-container:bottle,yes,nonvisual
Is it used for holding liquids?,bottle,is-it-used-for-holding-liquids,is-it-used-for-holding-liquids:bottle,yes,nonvisual
Is it used for holding things?,bottle,is-it-used-for-holding-things,is-it-used-for-holding-things:bottle,yes,nonvisual
Does it eat?,camel,does-it-eat,does-it-eat:camel,yes,nonvisual
Does it spit?,camel,does-it-spit,does-it-spit:camel,yes,nonvisual
Does it drink water?,camel,does-it-drink-water,does-it-drink-water:camel,yes,nonvisual
Is it used for relaxing?,chair,is-it-used-for-relaxing,is-it-used-for-relaxing:chair,yes,nonvisual
Is it used for sitting on?,chair,is-it-used-for-sitting-on,is-it-used-for-sitting-on:chair,yes,nonvisual
Is it found at tables?,chair,is-it-found-at-tables,is-it-found-at-tables:chair,yes,nonvisual
Does it live in a coop?,chicken,does-it-live-in-a-coop,does-it-live-in-a-coop:chicken,yes,nonvisual
Is it fast?,deer,is-it-fast,is-it-fast:deer,yes,nonvisual
Does it bark?,dog,does-it-bark,does-it-bark:dog,yes,nonvisual
Does it make noises?,donkey,does-it-make-noises,does-it-make-noises:donkey,yes,nonvisual
Is it furry?,donkey,is-it-furry,is-it-furry:donkey,yes,nonvisual
Is it an animal?,elephant,is-it-an-animal,is-it-an-animal:elephant,yes,nonvisual
Does it live in Africa?,elephant,does-it-live-in-africa,does-it-live-in-africa:elephant,yes,nonvisual
Does it eat peanuts?,elephant,does-it-eat-peanuts,does-it-eat-peanuts:elephant,yes,nonvisual
Does it live in zoos?,giraffe,does-it-live-in-zoos,does-it-live-in-zoos:giraffe,yes,nonvisual
Does it eat leaves?,giraffe,does-it-eat-leaves,does-it-eat-leaves:giraffe,yes,nonvisual
Is it worn for the rain?,jacket,is-it-worn-for-the-rain,is-it-worn-for-the-rain:jacket,yes,nonvisual
Is it clothing?,jacket,is-it-clothing,is-it-clothing:jacket,yes,nonvisual
Does it roar?,lion,does-it-roar,does-it-roar:lion,yes,nonvisual
Is it an animal?,lion,is-it-an-animal,is-it-an-animal:lion,yes,nonvisual
Is it a carnivore?,lion,is-it-a-carnivore,is-it-a-carnivore:lion,yes,nonvisual
Is it an animal?,mouse,is-it-an-animal,is-it-an-animal:mouse,yes,nonvisual
Does it eat?,mouse,does-it-eat,does-it-eat:mouse,yes,nonvisual
Does it like mud?,pig,does-it-like-mud,does-it-like-mud:pig,yes,nonvisual
Is it smelly?,pig,is-it-smelly,is-it-smelly:pig,yes,nonvisual
Does it live on farms?,pig,does-it-live-on-farms,does-it-live-on-farms:pig,yes,nonvisual
Is it juicy?,pineapple,is-it-juicy,is-it-juicy:pineapple,yes,nonvisual
Is it tropical?,pineapple,is-it-tropical,is-it-tropical:pineapple,yes,nonvisual
