cue,ftype,qid,question,response,question_id,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max
banana,visual,1,Does it have feathers?,no,banana:visual:1:no,6.0,-2.0,0.0,-2.0,-2.0,1.3333333333333333,1.505545305418162,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.6666666666666666,1.632993161855452,0.0,4.0
banana,visual,2,Does it have a tail?,no,banana:visual:2:no,4.0,-1.25,1.5,-2.0,1.0,1.5,1.7320508075688772,0.0,3.0,-1.75,0.5,-2.0,-1.0,1.25,1.8929694486000912,0.0,4.0
banana,visual,3,Does it have a beak?,no,banana:visual:3:no,5.0,-2.0,0.0,-2.0,-2.0,2.0,1.224744871391589,1.0,4.0,-2.0,0.0,-2.0,-2.0,1.4,1.3416407864998738,0.0,3.0
banana,visual,4,Does it have hooves?,no,banana:visual:4:no,5.0,-2.0,0.0,-2.0,-2.0,1.2,0.44721359549995787,1.0,2.0,-2.0,0.0,-2.0,-2.0,1.2,1.3038404810405297,0.0,3.0
bike,nonvisual,1,Is is used for riding?,yes,bike:nonvisual:1:yes,4.0,2.0,0.0,2.0,2.0,1.5,1.9148542155126762,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
bike,nonvisual,2,Is it used for racing?,yes,bike:nonvisual:2:yes,6.0,1.0,1.2649110640673518,-1.0,2.0,1.3333333333333333,1.2110601416389968,0.0,3.0,-1.5,0.5477225575051661,-2.0,-1.0,1.0,1.6733200530681511,0.0,4.0
bike,nonvisual,3,Does it have different speeds?,yes,bike:nonvisual:3:yes,10.0,1.1,0.7378647873726218,0.0,2.0,1.5,1.35400640077266,0.0,4.0,-1.5,0.5270462766947299,-2.0,-1.0,0.6,1.2649110640673518,0.0,4.0
bike,nonvisual,4,Is it fast?,yes,bike:nonvisual:4:yes,4.0,0.25,0.5,0.0,1.0,1.25,0.9574271077563381,0.0,2.0,-1.25,0.9574271077563381,-2.0,0.0,1.0,1.4142135623730951,0.0,3.0
bike,visual,1,Does it have handle bars?,yes,bike:visual:1:yes,6.0,1.6666666666666667,0.5163977794943221,1.0,2.0,1.8333333333333333,1.4719601443879744,0.0,4.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,0.5,0.8366600265340756,0.0,2.0
bike,visual,2,Does it have a seat?,yes,bike:visual:2:yes,6.0,1.8333333333333333,0.40824829046386274,1.0,2.0,1.5,1.9748417658131499,0.0,4.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,0.3333333333333333,0.816496580927726,0.0,2.0
bike,visual,3,Does it have gears?,yes,bike:visual:3:yes,4.0,0.75,0.9574271077563381,0.0,2.0,1.75,1.707825127659933,0.0,4.0,-1.5,0.5773502691896257,-2.0,-1.0,2.0,1.4142135623730951,1.0,4.0
bike,visual,4,Is it made of metal?,yes,bike:visual:4:yes,4.0,1.0,1.4142135623730951,-1.0,2.0,1.25,1.2583057392117916,0.0,3.0,-1.5,0.5773502691896257,-2.0,-1.0,0.25,0.5,0.0,1.0
bike,nonvisual,1,Does it live in Africa?,no,bike:nonvisual:1:no,4.0,-1.25,0.9574271077563381,-2.0,0.0,0.5,1.0,0.0,2.0,-1.25,0.9574271077563381,-2.0,0.0,0.0,0.0,0.0,0.0
bike,nonvisual,2,Is it nocturnal?,no,bike:nonvisual:2:no,5.0,-1.6,0.8944271909999157,-2.0,0.0,0.8,1.3038404810405297,0.0,3.0,-1.6,0.8944271909999157,-2.0,0.0,0.2,0.4472135954999579,0.0,1.0
bike,nonvisual,3,Is it a mammal?,no,bike:nonvisual:3:no,5.0,-1.2,1.7888543819998317,-2.0,2.0,0.8,1.7888543819998317,0.0,4.0,-1.2,1.7888543819998317,-2.0,2.0,0.8,1.7888543819998317,0.0,4.0
bike,nonvisual,4,Is it found at tables?,no,bike:nonvisual:4:no,4.0,-2.0,0.0,-2.0,-2.0,1.25,0.9574271077563381,0.0,2.0,-1.25,0.5,-2.0,-1.0,0.75,0.9574271077563381,0.0,2.0
bike,visual,1,Does it have legs?,no,bike:visual:1:no,7.0,-2.0,0.0,-2.0,-2.0,1.0,1.4142135623730951,0.0,4.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,0.2857142857142857,0.7559289460184545,0.0,2.0
bike,visual,2,Is it made of plastic?,no,bike:visual:2:no,8.0,-1.125,0.9910312089651149,-2.0,0.0,1.625,1.1877349391654208,0.0,3.0,-0.75,0.8864052604279183,-2.0,1.0,1.5,1.1952286093343936,0.0,3.0
bike,visual,3,Does it have feet?,no,bike:visual:3:no,7.0,-2.0,0.0,-2.0,-2.0,1.1428571428571428,1.4638501094227998,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.14285714285714285,0.37796447300922725,0.0,1.0
bike,visual,4,Does it have sleeves?,no,bike:visual:4:no,6.0,-2.0,0.0,-2.0,-2.0,1.0,1.2649110640673518,0.0,3.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,0.3333333333333333,0.816496580927726,0.0,2.0
bottle,nonvisual,1,Is it used for holding things?,yes,bottle:nonvisual:1:yes,9.0,1.4444444444444444,1.0137937550497031,-1.0,2.0,2.6666666666666665,1.5,0.0,4.0,-1.2222222222222223,1.3017082793177757,-2.0,2.0,1.2222222222222223,1.3944333775567925,0.0,4.0
bottle,nonvisual,2,Is it used for holding liquids?,yes,bottle:nonvisual:2:yes,5.0,1.4,0.8944271909999157,0.0,2.0,1.4,0.8944271909999157,1.0,3.0,-1.6,0.547722557505166,-2.0,-1.0,0.8,0.8366600265340756,0.0,2.0
bottle,nonvisual,3,Is it a container?,yes,bottle:nonvisual:3:yes,6.0,0.8333333333333334,1.3291601358251257,-1.0,2.0,2.0,1.4142135623730951,0.0,4.0,-0.8333333333333334,1.3291601358251257,-2.0,1.0,1.6666666666666667,0.8164965809277259,1.0,3.0
bottle,nonvisual,4,Is it breakable?,yes,bottle:nonvisual:4:yes,4.0,0.75,0.5,0.0,1.0,2.0,1.4142135623730951,0.0,3.0,-1.0,0.816496580927726,-2.0,0.0,1.0,0.816496580927726,0.0,2.0
bottle,nonvisual,5,Is it used for holding beer?,yes,bottle:nonvisual:5:yes,4.0,1.25,0.9574271077563381,0.0,2.0,2.0,1.4142135623730951,0.0,3.0,-1.25,0.9574271077563381,-2.0,0.0,1.0,1.4142135623730951,0.0,3.0
bottle,visual,1,Is it made of glass?,yes,bottle:visual:1:yes,4.0,1.0,0.816496580927726,0.0,2.0,2.0,0.816496580927726,1.0,3.0,-1.5,0.5773502691896257,-2.0,-1.0,1.25,0.9574271077563381,0.0,2.0
bottle,visual,2,Is it made of plastic?,yes,bottle:visual:2:yes,5.0,0.6,0.5477225575051661,0.0,1.0,2.4,1.3416407864998738,1.0,4.0,-1.2,0.8366600265340756,-2.0,0.0,0.8,0.8366600265340756,0.0,2.0
bottle,visual,3,Does it have a lid?,yes,bottle:visual:3:yes,4.0,0.0,1.8257418583505538,-2.0,2.0,2.5,0.5773502691896257,2.0,3.0,-1.5,1.0,-2.0,0.0,0.25,0.5,0.0,1.0
bottle,visual,4,Does it have a neck?,yes,bottle:visual:4:yes,5.0,1.4,0.8944271909999157,0.0,2.0,2.2,1.0954451150103324,1.0,3.0,-1.4,0.547722557505166,-2.0,-1.0,1.4,0.8944271909999157,1.0,3.0
bottle,visual,5,Does it have a cork?,yes,bottle:visual:5:yes,7.0,-0.42857142857142855,0.7867957924694432,-2.0,0.0,1.2857142857142858,1.3801311186847085,0.0,4.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,0.2857142857142857,0.4879500364742666,0.0,1.0
